Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Jakob Silfverberg,R,510,783.5,888.35,5.82,6.01,-0.1899999999999995,76.0,89.0,-13.0,14,75.0,5.07,1.0,0.75,44,31.5,31.1,62.6
Jesper Bratt,L,185,383.02,89.28,5.8,6.72,-0.9199999999999999,37.0,10.0,27.0,2,8.0,5.38,29.0,0.42,26,39.1,9.1,48.2
Alex Goligoski,D,550,1202.35,1266.65,5.79,7.06,-1.2699999999999996,116.0,149.0,-33.0,7,142.0,6.73,-26.0,-0.94,65,41.0,47.2,88.2
Seth Jones,D,524,1192.22,1038.77,5.79,6.58,-0.79,115.0,114.0,1.0,6,108.0,6.24,7.0,-0.45,83,46.3,42.8,89.1
R.J. Umberger,C,180,259.43,153.47,5.78,6.26,-0.47999999999999954,25.0,16.0,9.0,2,14.0,5.47,11.0,0.31,16,26.7,15.0,41.7
Matt Calvert,L,451,197.62,863.3,5.77,7.09,-1.3200000000000003,19.0,102.0,-83.0,13,89.0,6.19,-70.0,-0.42,8,8.3,36.1,44.4
Mattias Ekholm,D,535,624.3,1134.17,5.77,6.51,-0.7400000000000002,60.0,123.0,-63.0,9,114.0,6.03,-54.0,-0.26,35,22.0,42.0,64.0
Colton Sceviour,C,452,239.32,781.02,5.77,7.14,-1.37,23.0,93.0,-70.0,8,85.0,6.53,-62.0,-0.76,13,9.8,36.2,46.0
Dylan Larkin,C,389,906.02,351.3,5.76,7.51,-1.75,87.0,44.0,43.0,7,37.0,6.32,50.0,-0.56,49,46.8,17.7,64.5
Jason Garrison,D,318,417.42,595.18,5.75,6.75,-1.0,40.0,67.0,-27.0,3,64.0,6.45,-24.0,-0.7,27,23.7,34.9,58.6
TJ Brodie,D,530,1012.37,1111.03,5.75,7.61,-1.8600000000000003,97.0,141.0,-44.0,10,131.0,7.07,-34.0,-1.32,53,36.1,43.3,79.4
Curtis Lazar,C,284,83.58,247.43,5.74,7.76,-2.0199999999999996,8.0,32.0,-24.0,5,27.0,6.55,-19.0,-0.81,2,5.5,17.6,23.1
Markus Granlund,C,335,387.08,537.58,5.74,8.04,-2.299999999999999,37.0,72.0,-35.0,6,66.0,7.37,-29.0,-1.63,15,21.4,34.0,55.4
Martin St. Louis,R,155,481.32,102.15,5.73,5.87,-0.13999999999999968,46.0,10.0,36.0,2,8.0,4.7,38.0,1.03,34,59.8,12.7,72.5
Nick Bjugstad,C,428,816.23,83.57,5.73,14.36,-8.629999999999999,78.0,20.0,58.0,2,18.0,12.92,60.0,-7.19,46,35.3,3.9,39.2
Oscar Lindberg,L,252,94.18,93.03,5.73,6.45,-0.7199999999999998,9.0,10.0,-1.0,0,10.0,6.45,-1.0,-0.72,5,7.7,7.7,15.4
Zach Hyman,L,302,104.65,728.18,5.73,6.76,-1.0299999999999994,10.0,82.0,-72.0,8,74.0,6.1,-64.0,-0.37,6,7.6,52.2,59.8
Phillip Danault,C,339,261.75,603.05,5.73,7.96,-2.2299999999999995,25.0,80.0,-55.0,4,76.0,7.56,-51.0,-1.83,12,16.3,35.6,51.9
Thomas Chabot,D,205,555.18,68.53,5.73,5.25,0.4800000000000004,53.0,6.0,47.0,1,5.0,4.38,48.0,1.35,35,56.1,7.0,63.1
Nico Hischier,C,209,524.5,141.55,5.72,4.66,1.0599999999999996,50.0,11.0,39.0,2,9.0,3.81,41.0,1.91,27,47.4,13.0,60.4
Jason Pominville,R,472,1051.92,82.12,5.7,5.85,-0.14999999999999947,100.0,8.0,92.0,0,8.0,5.85,92.0,-0.15,57,43.0,3.7,46.7
Mikael Backlund,C,520,926.08,962.15,5.7,6.86,-1.1600000000000001,88.0,110.0,-22.0,21,89.0,5.55,-1.0,0.15,60,34.2,37.5,71.7
Jimmy Vesey,L,304,400.22,179.95,5.7,9.67,-3.9699999999999998,38.0,29.0,9.0,1,28.0,9.34,10.0,-3.64,16,27.7,12.3,40.0
Shawn Horcoff,C,212,231.87,253.97,5.69,5.67,0.020000000000000462,22.0,24.0,-2.0,3,21.0,4.96,1.0,0.73,9,19.4,22.6,42.0
Filip Hronek,D,111,264.3,241.57,5.68,9.94,-4.26,25.0,40.0,-15.0,1,39.0,9.69,-14.0,-4.01,15,49.0,44.1,93.1
Adrian Kempe,C,256,391.17,128.98,5.68,4.65,1.0299999999999994,37.0,10.0,27.0,5,5.0,2.33,32.0,3.35,21,32.8,10.4,43.2
Trevor Lewis,C,471,127.25,680.0,5.66,6.35,-0.6899999999999995,12.0,72.0,-60.0,5,67.0,5.91,-55.0,-0.25,6,5.4,27.7,33.1
Marcus Pettersson,D,175,148.92,169.48,5.64,6.73,-1.0900000000000007,14.0,19.0,-5.0,1,18.0,6.37,-4.0,-0.73,8,18.2,20.1,38.3
Anton Stralman,D,505,606.55,1214.4,5.64,6.23,-0.5900000000000007,57.0,126.0,-69.0,1,125.0,6.18,-68.0,-0.54,34,22.2,47.3,69.5
Matt Irwin,D,321,202.57,186.35,5.63,8.05,-2.420000000000001,19.0,25.0,-6.0,2,23.0,7.41,-4.0,-1.78,9,11.8,11.8,23.6
Ben Hutton,D,341,512.0,453.85,5.63,6.48,-0.8500000000000005,48.0,49.0,-1.0,2,47.0,6.21,1.0,-0.58,28,29.7,26.8,56.5
Brock Nelson,C,548,1134.05,453.17,5.61,7.15,-1.54,106.0,54.0,52.0,2,52.0,6.88,54.0,-1.27,56,42.0,17.9,59.9
Nikita Zadorov,D,356,150.95,555.45,5.56,7.24,-1.6800000000000006,14.0,67.0,-53.0,0,67.0,7.24,-53.0,-1.68,8,7.7,29.2,36.9
John-Michael Liles,D,215,401.57,199.52,5.53,5.11,0.41999999999999993,37.0,17.0,20.0,1,16.0,4.81,21.0,0.72,17,36.9,21.5,58.4
Brayden McNabb,D,441,141.45,885.58,5.51,7.72,-2.21,13.0,114.0,-101.0,3,111.0,7.52,-98.0,-2.01,6,6.5,39.4,45.9
Antoine Roussel,L,480,228.67,631.03,5.51,6.56,-1.0499999999999998,21.0,69.0,-48.0,3,66.0,6.28,-45.0,-0.77,9,8.7,25.4,34.1
